nom_arxiu,nom_fons,caption,toponims,noms_propis,url,filename,year
Arxiu Comarcal Conca de Barberà,Anton Moix,Retrat d'un nen no identificat a les escales de l'església de Santa Maria,Montblanc,,https://static.arxiusenlinia.cultura.gencat.cat/active/GIAC/NOTEXTUAL/310/122/1/1149/ACCB_681862_310012230001149.jpg,ACCB_681862_310012230001149.jpg,1950
Arxiu Comarcal Pla de l'Estany,Col·lecció Lluís Martí,"[Nom del (s) productor(s)]: Martí i Salló, Lluís . [Abast i contingut]: Retrat d'estudi d'una monja amb hàbit, agenollada en un reclinatori i amb un rosari",,,"https://static.arxiusenlinia.cultura.gencat.cat/active/GIAC/NOTEXTUAL/180/47/1/1300/ACPE_941767_180004730001300,0001.jpg","ACPE_941767_180004730001300,0001.jpg",1925
Arxiu Municipal de Sant Cugat del Vallès,Cabanas (fotògrafs),Retrat de nena vestida per a la primera comunió.,Sant Cugat del Vallès,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/5/4/4/4416/ANC_926993_809451.jpg,ANC_926993_809451.jpg,1939
Arxiu Nacional de Catalunya,FREDERIC CUYÀS,"Retrat d'estudi de cos sencer d'una nena de Calella de la família Tortós, vestida de Verge Maria, mirant cap amunt i amb les mans creuades sobre el pit. Es tracta d'una familiar de Frederic Cuyàs.",Catalunya,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/434/0/77/ANC_769247_551807.jpg,ANC_769247_551807.jpg,1938
Arxiu Nacional de Catalunya,BRANGULÍ (FOTÒGRAFS),"Representació teatral religiosa dels alumnes del col·legi Presentación. Carrer Bellafila, Barcelona",Barcelona,"Presentación, Col·legi",https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/42/21/21807/ANC_134175_120113.jpg,ANC_134175_120113.jpg,1928
Arxiu Nacional de Catalunya,COL·LECCIÓ D'ÀLBUMS FOTOGRÀFICS DE L'ARXIU NACIONAL DE CATALUNYA,"Retrat de mig cos, d'una dona gran no identificada asseguda en una cadira. Va vestida de negre amb un mocador que li cobreix el cabell. És membre de la família Batlló.",Barcelona,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/371/0/345/ANC_579514_93918.jpg,ANC_579514_93918.jpg,1898
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,Retrat de cos sencer d'una actriu que porta un mocador al cap i un davantal.,Barcelona,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/1/1221/ANC_483236_389021.jpg,ANC_483236_389021.jpg,1905
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,"Retrat de cos sencer d'una de les actrius partitipants a l'obra ""Quo Vadis"" caracteritzada per interpretar el seu paper. L'òbra, protagonitzada per Dolores Bremón i Mercedes Pardo, va ser presentada a començaments de 1907 per la companyia de Francisco García Ortega.",Barcelona,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/1/1231/ANC_484342_390573.jpg,ANC_484342_390573.jpg,1907
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,Retrat de cos sencer d'una actriu que porta un mantó i que balla.,Barcelona,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/1/1264/ANC_481136_385946.jpg,ANC_481136_385946.jpg,1910
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,"Retrat de cos sencer de l'actriu Manuela González Muñoz ""la Bella Czarina"" coberta amb una mantellina, porta un faldó.",Barcelona,"González Muñoz, Manuela (La Bella Zarina) (actriu)",https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/1/1309/ANC_481900_386967.jpg,ANC_481900_386967.jpg,1905
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,Retrat de cos sencer i de costat d'una artista flamenca que sosté una guitarra.,Barcelona,,https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/0/155/ANC_481030_385787.jpg,ANC_481030_385787.jpg,1885
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,Retrat de cos sencer de l'actriu María Tubau amb el cap cobert per una mantellina.,Barcelona,María Tubau (actriu),https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/0/15/ANC_487089_394820.jpg,ANC_487089_394820.jpg,1882
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,"Retrat de cos sencer de l'actriu Palmesana, porta un mantó i una mantellina que li cobreix el cap.",Barcelona,Palmesana (actriu),https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/1/1624/ANC_485180_391927.jpg,ANC_485180_391927.jpg,1905
Arxiu Nacional de Catalunya,ANTONIO ESPLUGAS,"Reproducció d'un retrat de cos sencer de la soprano Concepció ""Concetta"" Bordalba vestida per a una actuació. L'autor de la fotografia original és l'estudi ""Guigoni & Bossi  Milano"".",Barcelona,"Bordalba, Concepció [Concetta] (soprano)",https://static.arxiusenlinia.cultura.gencat.cat/active/GANC/NOTEXTUAL/1/402/2/2202/ANC_484599_390806.jpg,ANC_484599_390806.jpg,1905
